enemy_key,display_name_zh,emotion_function,madness_level,source,color_hint,role,short_flavor,combat_hook
ddl_yesterday,昨天的 DDL,扎心,1,SYSTEM,RED,普通,截止日已经过了，但系统和导师都当你理所当然能赶上。,倒计时敌人：每回合减少倒计时；倒计时为0时发动巨大爆发；你每拖一回合，它获得额外攻势或易伤你。
procrastinite,拖延菌群,反思,1,SELF,GREEN,普通,像霉菌一样在角落里疯长的拖延情绪。,每回合给自己叠“成长”/污染你牌库；你若本回合出牌数过少，它额外成长；被击杀时一次性清掉部分污染。
finance_auntie,财务处的报账大妈,扎心,0,PEOPLE+SYSTEM,WHITE,普通,柜台后面那张面无表情的脸，比任何Boss都难缠。,设置“出牌规则”：本回合第一张牌费用+1 / 某类牌不能打；你违反规则时反伤或令牌无效；偶尔给自己护盾。
meaningless_forms,毫无意义的表格填写,反思,1,SYSTEM,WHITE+BLUE,普通,一遍遍填重复信息的在线表单，像没有尽头的关卡。,强迫你连续打出相同费用/颜色的牌，否则给你施压或加废牌；完成“连打任务”则暂时不再骚扰。
junior_crush,美女的小师妹,反思,0,PEOPLE,GREEN+BLUE,普通,人美、聪明、高效，你只剩自卑与社恐。,输出不高，但每次行动给你叠“自我怀疑”：降低你造成的伤害/自信上限；若她在场其他敌人更容易集中火力。
classmates_flex,本科同学晒娃/晒年终奖,反思,1,PEOPLE,GREEN+BLACK,普通,朋友圈里的人生赢家，让你一边笑一边胃疼。,每回合往你牌库/手牌塞“嫉妒”诅咒：打出会扣血，不打出占手牌位；当你手中嫉妒过多时，它获得临时强化。
roommate_gaming,晚上舍友约你打游戏,反思,1,PEOPLE,RED+BLACK,普通,一句“就一把”，你的整晚计划全部报废。,每回合给你一张“爽牌”（高爆发/高抽）；使用当回合很爽，但下回合能量/抽牌大幅下降或产大量心魔；你也可以选择弃用爽牌保持稳健。
morning_alarm,早上的闹钟,扎心,0,WORLD,WHITE+RED,普通,每天都响，从来没在第一声时起过。,固定节奏技：每X回合触发“强制起床”检定；若你上回合出牌数或完成度不达标，本回合抽牌-1或能量-1；合格则它暂时沉默一回合。
plagiarism_highlight,查重报告上的红色高亮,扎心,1,SYSTEM,WHITE+BLUE,精英,你自己写的句子被系统判定为100%相似。,当你打出高费/高稀有牌时，有几率触发“查重不通过”：效果减半/无效/反伤；鼓励你用基础牌慢磨；血量中等但极其恶心。
wrong_premise,论文写到底发现开头退错了,反思,2,SELF+SYSTEM,BLUE+BLACK,精英,写到最后一晚才发现立论根基有问题。,战斗中后期触发“大回滚”：清空你累计的某类增益（如成长层数/强化buff）或强制弃掉关键牌；前期几乎不动手，专等你建立优势后否定你。
client_torment,甲方的折磨,爽,1,PEOPLE+SYSTEM,BLACK+RED,精英,项目做到一半，他说“我们想改个小地方”。,频繁重排你的手牌/重置你的状态/撤销你上回合的收益，但自身护盾和血量都不高；设计成“恶心但脆皮”的精英，供玩家发泄。
schrodinger_bug,薛定谔的代码 Bug,爽+反思,2,WORLD+SELF,BLUE+BLACK,特殊,自己跑一百遍都没事，demo 一开就崩。,全场被动：你打出的牌有固定小概率直接失效或产生反效果；同时它偶尔自爆（自损大量HP）；战斗胜利时给予额外战利品，强化“在地狱环境下赢了”的爽感。
