类别,数据项名称,代码埋点逻辑 (如何记录),结算面板文案 (格式化文本),吐槽/风味解析
导师交互,大饼消化面积,每次触发【导师画大饼】相关事件或卡牌，计数器+1。,消化导师大饼总面积：{count * 1.5} 平方米,将抽象的“画大饼”具象化为物理面积，凸显PUA的沉重感。
导师交互,收到/握手次数,每次在事件中选择【秒回/服从】选项，计数器+1。,微信回复“好的收到老师[握手]”次数：{count} 次,所有打工人/研究生的肌肉记忆，一种无奈的卑微。
导师交互,装死时长,在“导师微信/邮件”事件中选择【无视/等明天再回】，统计回合数。,累计假装没看到导师消息时长：{count * 6} 小时,一种消极抵抗的赛博生存策略。
导师交互,挨骂分贝,组会事件中，导师发动【批评/否定】类技能造成的伤害总量。,组会承受的声波冲击总能量：可点亮 {count * 0.1:.1f} 盏灯泡,把精神伤害转化为物理能量的无厘头换算。
摸鱼生存,外卖塔高度,每次使用【点外卖/暴食】回血卡牌或事件，计数器+1。,实验室外卖盒堆叠高度：{count * 0.05:.2f} 米,真实实验室环境的写照，外卖盒是博士生存在过的地质地层。
摸鱼生存,天花板凝视,深夜/凌晨回合（如果是时间制），且处于高压力状态，未进行有效科研操作。,凌晨3点天花板凝视时长：{count * 2} 小时,极具画面感的失眠与精神内耗描绘。
摸鱼生存,带薪拉屎,在实验室场景下，选择【去洗手间摸鱼】以降低压力。,带薪拉屎总耗时：换算为可读完 {count * 0.5:.1f} 本《资本论》,用荒诞的等价物来衡量摸鱼的价值。
摸鱼生存,咖啡因摄入,使用任何【咖啡/红牛/冰美式】类道具或卡牌。,血液内咖啡因浓度：可毒死 {count * 2} 头成年大象,夸张化读博对身体的物理改造。
摸鱼生存,洗发水消耗,随着压力值升高或连续熬夜回合数增加而记录。,购买防脱洗发水总支出：可入股霸王集团 {count * 0.001:.4f}% 股份,用极其微小但真实的数字体现“防脱”的无力感。
挣扎玄学,薛定谔报错,打出【修改代码/做实验】卡牌后，结果为“失败/Bug”。,薛定谔的报错（改了没用，没改跑通了）：{count} 次,程序员和理工科博士最深的痛，科学的尽头是玄学。
挣扎玄学,拜佛烧香,在事件或机制中，选择使用“玄学类”道具/增益（如转发锦鲤、放手办）。,试图用玄学/塔罗牌拯救实验的次数：{count} 次,走投无路时的赛博迷信。
挣扎玄学,键帽磨损,统计整局游戏中，【复制粘贴】/【引用】类卡牌的使用总次数。,Ctrl+C/V 键帽物理磨损深度：{count * 0.01:.2f} 毫米,将学术裁缝的本质量化。
挣扎玄学,撤回废稿,在写论文阶段，打出后又触发负面效果被摧毁的卡牌数量。,写了又删、删了又写的废稿字数：约 {count * 500} 字,沉没成本的直观体现。
精神破防,转行念头,每次压力值突破阈值（如80），但并未彻底崩溃。,脑海中闪过“去卖淀粉肠/烤冷面”的念头：{count} 次,最真实的下沉幻想，对简单体力劳动的渴望。
精神破防,破防叹气,连续两回合遭受负面Debuff或实验失败。,由于过度叹气导致的全球变暖贡献值：{count * 0.001:.4f} ℃,将个人的悲惨与宏大叙事结合的黑色幽默。
精神破防,发量预警,整局游戏承受的压力伤害总量 / 或者加班回合数。,枕头上的掉发量：可织就 {count * 0.02:.1f} 顶假发,博士生最在意的核心指标。
精神破防,小丑时刻,在满怀信心地使用了一张高费强力卡牌后，立刻被Boss/导师完美Counter（格挡/反制）。,满怀期待被打脸的“小丑时刻”：{count} 次,一种“我以为我行了，结果我还是个废物”的黑色幽默。
物理变异,颈椎曲度异化,每累计度过10个【熬夜工作】回合，数值增加。,颈椎曲度已变异：距离彻底进化为霸王龙还差 {count * 1.5:.1f}%,久坐和低头对人类脊柱的无情摧残。
物理变异,键盘机械能,统计整局游戏中打出【编程/写作】类卡牌的总数。,敲击键盘产生的机械能：足够烧开 {count * 0.05:.1f} 锅康师傅泡面,将无意义的劳动转化为有意义的热力学指标。
物理变异,冷汗体积,遇到【报错/拒稿/导师突击】事件时产生的压力波动次数。,梦魇惊醒分泌的冷汗总体积：可装满 {count * 50} 个 250ml 烧杯,一种极具画面感的赛博惊悚体验。
物理变异,抗毒抗体,在使用【生化环材】类实验卡牌或遭遇危险事件。,吸入的挥发性有毒气体：相当于在北京重度雾霾天裸奔 {count * 15} 小时,生化环材专业专属的痛，拿命换文章。
精神错乱,AI 依赖症,统计使用【求助 ChatGPT/Copilot】类卡牌/道具的字数。,对 AI 倾诉的字数：超过了这辈子和相亲对象说话总和的 {count * 5} 倍,现代学术民工最真实的孤独，AI 才是唯一的灵魂伴侣。
精神错乱,虚空暗杀,在面对导师/审稿人Boss时，打出但未能破防的【攻击】类卡牌数。,在脑海中构思暗杀导师/审稿人的完美计划：{count} 次,所有博士生都曾有过的阴暗幻想，绝对的“发疯文学”。
精神错乱,赛博诅咒,连续三次行动失败或代码报错时触发计数。,对着屏幕输出的污言秽语：足够编纂一部厚达 {count * 12} 页的《当代赛博诅咒词典》,理工科破防时的终极表现。
精神错乱,反派笑声,在压力极高（>90）的状态下，居然成功发了一篇文章或打败Boss。,看着实验室新来的直博生，发出桀桀桀反派笑声的次数：{count} 次,屠龙少年终成恶龙的早期症状。
学术黑产,坐标轴魔法,使用【修饰数据/剔除离群点】类卡牌的次数。,强行拉扯图表坐标轴掩盖烂数据的距离：可绕地球 {count * 0.01:.3f} 圈,每个做实验的人都懂的“坐标轴微调术”。
学术黑产,学术裁缝,使用【东拼西凑/缝合】机制成功产出论文。,成功把别人的 Idea 包装成“微创新”的次数：赛博缝合怪熟练度已达 {count * 10}%,在这个不发文章就死的时代，谁还不是个裁缝呢？
学术黑产,玄学解释,实验数据完全不符合预期，但依然通过【生搬硬套】卡牌强行过关。,为离谱数据强行编造合理物理机制杀死的脑细胞：相当于证明了 {count * 0.5:.1f} 次黎曼猜想,自欺欺人，最高境界的学术骗子连自己都信了。
社会死亡,聊天终结者,在非学术事件（如相亲/家庭聚餐）中，选择用学术原理解释日常现象。,成功用学术黑话把天聊死并劝退潜在相亲对象：{count} 人,被学术彻底异化，丧失了和正常人类沟通的能力。
社会死亡,亲戚破防刺击,在【过年回家】事件中，被问“什么时候毕业/工资多少”造成的伤害。,被亲戚的关心造成的精神真实伤害：相当于被泥头车正面撞击 {count * 3} 次,博士生的年关就是鬼门关。
社会死亡,家政服务经验,帮导师拿快递、接小孩、报销贴发票等打杂回合数。,导师私人助理经验值满级：获得【国家特级家政保姆】隐形认证（耗时 {count * 5} 小时）,读博=免费的高级知识分子家政服务。
社会死亡,余额幻想,资金（金币）低于 100 时，经过商店节点的次数。,盯着可怜的余额，在脑海中模拟抢劫银行路线图的次数：{count} 次,学历越高，钱包越空，穷到想犯罪。
日常发癫,文献重命名,下载论文后不改名直接保存的次数。,因未命名而永远消失在硬盘深处的 PDF 亡魂：{count} 个,每一个“download(1).pdf”背后都有一段放弃挣扎的故事。
