文本,按钮
学生交来一份实验报告，里面夹着奶茶店积分卡，背面写着“菜菜，捞捞”,没门
学生正在课程群里分享你的表情包,小帅
学生提交了一份2w字的作业,AI生成四个大字都不删吗？
学生问你研究这个课题有什么用？,可以让你毕业
学生和你说：“发现自己的学术灵感总出现在洗澡、蹲厕所和快睡着的时候。”,俺也一样
学生交的作业里附了一张自拍，配文“老师，看在我帅的份上”,截图发课程群
学生说“老师我昨晚梦到你了”,？你对我做了什么
学生问：能抄同学作业吗？,能给你0分吗？
有个学生在论文参考文献部分杜撰了一篇“知名文献”,给我这篇原文
有学生把你拉进了一个班级的吐槽小群,这16人的班级里竟然有17个群
学生问：“延毕和退学哪个更体面？天台或许也是个不错的选择”,且慢！
导师给你转发了十篇论文，并说：“周末好好休息。”,转发到学生群
学生问：”老师，您当年是不是学霸？“,微，微学霸
学生问：老师，你是不是已经发过很多篇顶刊了？,哪壶不开提哪壶
导师问你本科生给他的评价说什么意思：“老师讲课很有激情，如果内容能听懂就更好了。”,他们在夸您
导师在群里转发优秀博士生作息表，表格里连上厕所都精确到分钟,转发到学生群
学生问：老师，有那种三句话读懂一篇论文的工具吗？”,我也在找
学生问你科研的乐趣在哪里？,好刁钻的问题
学生对你的教学方式颇有微词，说你划水,开启翻转课堂
