阶段,状态/界面,特效名称,出现位置,表现说明,主要代码位置,参考1,参考2,参考3
2-理想选择界面,IDEALS,暗色全屏底色,理想选择页全屏背景,深色背景铺底，形成与主流程区分的视觉基调,contexts/ideals_select/state.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"",""Unity VFX for UI and 2D Games｜适合界面横幅、弹窗、2D爆点和轻量 UI 动效｜https://assetstore.unity.com/packages/vfx/particles/vfx-for-ui-and-2d-games-229043"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"",""Unity LB Hologram Shaders｜适合扫描线、闪烁、淡入淡出和科技感覆盖层｜https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"")","=HYPERLINK(""https://www.cgjoy.com/thread-279675-1-1.html"",""CGJOY U3D特效shader整合包｜适合 hover 亮化、描边、淡入淡出与移动端 URP 特效材质｜https://www.cgjoy.com/thread-279675-1-1.html"")"
,,边框式画面处理,理想选择页边缘,界面边缘增加一层轻量边框，形成轻微框景/收束感,contexts/ideals_select/state.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/outline-glow-shaders-128995"",""Unity Outline / Glow Shaders｜适合描边、高亮、hover 外发光和边缘强调｜https://assetstore.unity.com/packages/vfx/shaders/outline-glow-shaders-128995"")","=HYPERLINK(""https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"",""Godot Low Poly Precision Outline Shader｜支持精确多色描边，适合任务块、卡牌和界面包边高亮｜https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"")","=HYPERLINK(""https://www.cgjoy.com/thread-234840-1-1.html"",""CGJOY Unity 全息Shader/边缘光/扫描线教程包｜适合边缘光、扫描线、闪烁与淡入淡出表现｜https://www.cgjoy.com/thread-234840-1-1.html"")"
3-甘特图界面,CAMPAIGN,点击涟漪,甘特图画布点击反馈,白色圆环从点击点扩散并快速淡出,contexts/campaign/ui/effects.py; contexts/campaign/services/campaign_mouse_click_intent_dispatcher.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/vfx-particles-effects-ui-particles-effects-289526"",""Unity VFX Particles Effects-Ui Particles-Effects｜适合按钮反馈、点击圆环、界面粒子和提示爆点｜https://assetstore.unity.com/packages/vfx/particles/vfx-particles-effects-ui-particles-effects-289526"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/distortion-shockwaves-vfx-273644"",""Unity Distortion Shockwaves VFX｜适合脉冲、冲击波、融合瞬间扭曲和径向外扩｜https://assetstore.unity.com/packages/vfx/particles/distortion-shockwaves-vfx-273644"")","=HYPERLINK(""https://www.cgjoy.com/thread-239310-1-1.html"",""CGJOY Unreal Engine Niagara Shockwave Pack 01｜可直接参考冲击波层次与外扩节奏｜https://www.cgjoy.com/thread-239310-1-1.html"")"
,,阶段式左移,回合结束融合预演,预测到下一回合会融合时，任务块先整体轻微左移,contexts/campaign/services/end_turn_service.py,"=HYPERLINK(""https://store.godotengine.org/asset/ramokz/phantom-camera/"",""Godot Phantom Camera｜提供平滑阻尼、跟随、切换与动态镜头过渡，适合阶段式位移和震动编排｜https://store.godotengine.org/asset/ramokz/phantom-camera/"")","=HYPERLINK(""https://store.godotengine.org/asset/rokojori/rokojori-action-library/"",""Godot Rokojori Action Library｜支持动作链、动画、UI与逻辑编排，适合多阶段演出和循环动作｜https://store.godotengine.org/asset/rokojori/rokojori-action-library/"")","=HYPERLINK(""https://store.godotengine.org/asset/realnikich/blastbullets2d/"",""Godot BlastBullets2D｜强调平滑插值、拖尾挂接与粒子附件，适合高速移动和飞行轨迹效果｜https://store.godotengine.org/asset/realnikich/blastbullets2d/"")"
,,任务块 hover 描边,任务块悬停反馈,可操作块显示白描边，不可操作块显示灰描边,contexts/campaign/rendering/block_renderer.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/outline-glow-shaders-128995"",""Unity Outline / Glow Shaders｜适合描边、高亮、hover 外发光和边缘强调｜https://assetstore.unity.com/packages/vfx/shaders/outline-glow-shaders-128995"")","=HYPERLINK(""https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"",""Godot Low Poly Precision Outline Shader｜支持精确多色描边，适合任务块、卡牌和界面包边高亮｜https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"")","=HYPERLINK(""https://www.cgjoy.com/thread-279675-1-1.html"",""CGJOY U3D特效shader整合包｜适合 hover 亮化、描边、淡入淡出与移动端 URP 特效材质｜https://www.cgjoy.com/thread-279675-1-1.html"")"
,,DDL 触线脉冲,DDL 块与行动线重合时,脉冲描边并带 glow，强化危机感,contexts/campaign/rendering/block_renderer.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/distortion-shockwaves-vfx-273644"",""Unity Distortion Shockwaves VFX｜适合脉冲、冲击波、融合瞬间扭曲和径向外扩｜https://assetstore.unity.com/packages/vfx/particles/distortion-shockwaves-vfx-273644"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/shockwave-56533"",""Unity ShockWave｜适合点击波纹、冲击外扩圈与瞬时能量环｜https://assetstore.unity.com/packages/vfx/shaders/shockwave-56533"")","=HYPERLINK(""https://www.cgjoy.com/thread-239310-1-1.html"",""CGJOY Unreal Engine Niagara Shockwave Pack 01｜可直接参考冲击波层次与外扩节奏｜https://www.cgjoy.com/thread-239310-1-1.html"")"
,,行动线呼吸式暗化,行动线附近区域,区域亮度周期性暗化/恢复，形成呼吸式聚焦带,contexts/campaign/rendering/action_line_breath_renderer.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"",""Unity LB Hologram Shaders｜适合扫描线、闪烁、淡入淡出和科技感覆盖层｜https://assetstore.unity.com/packages/vfx/shaders/lb-hologram-shaders-86027"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/distortion-shader-mobily-friendly-285348"",""Unity Distortion Shader (Mobily Friendly)｜适合局部扭曲、聚焦带、热浪和屏幕扰动效果｜https://assetstore.unity.com/packages/vfx/shaders/distortion-shader-mobily-friendly-285348"")","=HYPERLINK(""https://www.cgjoy.com/thread-234840-1-1.html"",""CGJOY Unity 全息Shader/边缘光/扫描线教程包｜适合边缘光、扫描线、闪烁与淡入淡出表现｜https://www.cgjoy.com/thread-234840-1-1.html"")"
,,融合动画,融合任务块,表现为吸附靠拢、冲击压缩、结果过渡三段式动画,contexts/campaign/rendering/fusion_fx_renderer.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/distortion-shockwaves-vfx-273644"",""Unity Distortion Shockwaves VFX｜适合脉冲、冲击波、融合瞬间扭曲和径向外扩｜https://assetstore.unity.com/packages/vfx/particles/distortion-shockwaves-vfx-273644"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/epic-toon-vfx-4-fire-and-water-effects-279952"",""Unity Epic Toon VFX 4 - Fire and Water effects｜适合风格化冲击、斩击、火焰和结果过渡表现｜https://assetstore.unity.com/packages/vfx/particles/epic-toon-vfx-4-fire-and-water-effects-279952"")","=HYPERLINK(""https://www.cgjoy.com/thread-243317-1-1.html"",""CGJOY ivan boyko 2D特效作品集｜包含火焰、烟雾、冲击波、能量球，适合融合、飞出和能量收束参考｜https://www.cgjoy.com/thread-243317-1-1.html"")"
,,火焰顶层覆盖,顶层 frame overlay,基于 sprite sheet 的火焰动画覆盖层,contexts/campaign/rendering/flame_overlay_renderer.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/fire-explosions/real-fire-smoke-78117"",""Unity Real Fire & Smoke｜适合真实火焰、烟雾、热扰动和持续燃烧层｜https://assetstore.unity.com/packages/vfx/particles/fire-explosions/real-fire-smoke-78117"")","=HYPERLINK(""https://assetstore.unity.com/packages/vfx/particles/fire-explosions/smoke-ember-fx-98947"",""Unity Smoke & Ember FX｜适合火星、余烬、烟雾和顶部火焰覆盖层｜https://assetstore.unity.com/packages/vfx/particles/fire-explosions/smoke-ember-fx-98947"")","=HYPERLINK(""https://www.cgjoy.com/thread-248774-1-1.html"",""CGJOY 火焰粒子效果｜现成火焰粒子贴图资源，适合序列帧/贴图式火焰覆盖实现｜https://www.cgjoy.com/thread-248774-1-1.html"")"
,,BackgroundV2 hover 图层反馈,BackgroundV2 额外装饰图层,hover 时发生亮化、显隐切换或配对图层切换,contexts/campaign/rendering/background_renderer.py; contexts/campaign/rendering/extra_layers_renderer.py,"=HYPERLINK(""https://assetstore.unity.com/packages/vfx/shaders/outline-glow-shaders-128995"",""Unity Outline / Glow Shaders｜适合描边、高亮、hover 外发光和边缘强调｜https://assetstore.unity.com/packages/vfx/shaders/outline-glow-shaders-128995"")","=HYPERLINK(""https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"",""Godot Low Poly Precision Outline Shader｜支持精确多色描边，适合任务块、卡牌和界面包边高亮｜https://store.godotengine.org/asset/sol-vin/low-poly-precision-outline-shader/"")","=HYPERLINK(""https://www.cgjoy.com/thread-279675-1-1.html"",""CGJOY U3D特效shader整合包｜适合 hover 亮化、描边、淡入淡出与移动端 URP 特效材质｜https://www.cgjoy.com/thread-279675-1-1.html"")"
