card_id,name_key,description_key,text
red_latest_strike,截胡,造成 7 点伤害。若为本次抽牌动作中打出的第一张牌，改为造成 11 点伤害。,抱歉，这个 idea 昨晚刚挂上我们的 arXiv。
red_frontier_guard,强行解释,获得 5 点自信。若为本次抽牌动作中打出的第一张牌，改为获得 8 点自信。,只要我不心虚，心虚的就是审稿人。
red_defense_and_strike,虚空引用,获得 6 点自信。若为本次抽牌动作中打出的第一张牌，再对随机敌人造成 6 点伤害。,As is known to all...
red_keep_up,查源码,造成 8 点伤害。获得 1 点能量。,你的公式推导很漂亮，但你的代码连环境都配不起来。
red_scribble_note,工程视角,获得 5 点自信。将 1 张 0 费攻击牌“查源码”置入你的手牌。,别整那些虚的，跑个 Demo 看看。
red_scribble_small,硬编码,造成 4 点伤害。消耗。,别管为什么，这么写它就不会报错。
red_debate_steady,跑通就行,获得 6 点自信。若为本次抽牌动作中打出的第一张牌，获得 1 点能量。,代码虽然像屎山，但 SOTA 就是 SOTA。
red_frontier_brief,外包大脑,抽 2 张牌。,“请用两句话总结这篇 50 页的综述。”
red_note_dance,直击痛点,将 2 张 0 费攻击牌“硬编码”置入手牌。若为本次抽牌动作中打出的第一张牌，再抽 1 张牌。,别跟我扯什么理论突破，你就说这玩意能不能帮厂里省钱吧。
red_frontier_annotation,大力拟合,造成 7 点伤害。若为本次抽牌动作中打出的第一张牌，改为造成 10 点伤害。将 1 张“硬编码”置入手牌。,只要删掉这三个离群值，我们的曲线就完美了。
red_scribble_amplifier,痛点放大,能力：你每次打出“硬编码”，额外造成 2 点伤害。,把这个微小的误差吹成行业级灾难，我们的研究就有价值了。
red_inspiration_blade_rain,开源狂热,将 3 张“硬编码”置入手牌。若为本次抽牌动作中打出的第一张牌，获得 1 点能量。,Talk is cheap. Show me the code.
red_scribble_finisher,暴力迭代,造成 6 点伤害，外加本回合你已打出“硬编码”数量×3（最多按 5 张计）。,只要我 commit 得够快，Deadline 就追不上我。
red_frontier_damage_core,技术转化,能力：你打出的前沿牌伤害 +1。,我们要的不是被引用，是被使用！
red_frontier_triplet_energy,拿来主义,能力：每触发 3 次前沿，获得 1 点能量（每回合最多触发 1 次）。,GitHub 上有现成的轮子，你非要自己造？
red_mark_next_frontier,强行关联,本回合你的下一张打出的牌视为前沿牌。,虽然这两个领域毫无关系，但我硬凑了一个交叉创新。
red_crossdomain_superconductor,降维打击,能力：本回合每打出1张非红牌，你下一次打出红牌费用-1（最低0）。每回合最多获得2层减费。,把航天级的算法拿去养猪，这就是我们的护城河。
red_borrowed_ignition,缝合怪,能力：每打出1张非红牌，下一张红色攻击牌伤害+3（最多叠2层）。打出红色攻击牌后清空层数。,说你抄袭的人，根本不懂什么叫微创新。
red_cross_amplify,实用至上,能力：每回合首次打出非红牌时，抽1并获得1点自信。,能发顶会的理论不一定有用，但能赚钱的技术一定有用。
red_cross_domain_audit,跨界缝合,随机获得1张其他颜色牌到手牌。若为本次抽牌动作中打出的第一张牌，再额外获得1张。,左手借个模型，右手借个数据集，一篇顶会诞生了。
red_literature_flood,批量制造,随机获得2张其他颜色攻击牌到手牌，这些牌本回合费用-1。,只要排列组合够多，总有一篇能中。
red_havoc_peek,热修复,打出牌库顶的1张牌。该牌在结算后消耗。,别问为什么加这行代码，删了整个项目就会崩溃。
red_chaos_draft,强行自洽,随机获得1张红色牌到手牌，该牌本回合费用-1。若为前沿牌，再随机获得1张非红牌。,只要我不承认失败，这就是一次“有价值的尝试”。
red_last_line,奥卡姆剃刀,能力：每回合首次打出前沿牌后，获得1点红色能量。,如无必要，绝不推导。
red_frontier_continuous_draw,经世致用,能力：每当你打出前沿牌，抽1。,如果一个理论不能变成生产力，那它连擦屁股都嫌硬。
red_borrowed_lottery,逻辑闭环,随机获得1张非红牌。若本回合你已打出过非红牌，再抽1。,只要把结论写在前提里，就永远不会被推翻。
red_blind_literature,盲目自信,抽1。若其为攻击牌，则其本回合费用变0并再抽1；否则弃1。,我赌导师组会上根本不会看这一页。
red_mad_rewrite,通宵赶工,随机2张手牌本回合费用-1，然后随机弃1。若为前沿牌，改为随机3张手牌本回合费用-1，然后随机弃1。,明早八点，我要在邮箱里看到初稿。——凌晨3点的导师微信
red_cost_burst_read,KPI考核,抽2。对随机敌人造成（本次抽到牌的总费用×3）点伤害。若为前沿牌，改为×4。,你来过几次实验室？去过几次图书馆？系统里都查得到。
red_inspiration_preheat,免费劳力,能力：每回合前2次你额外抽到的牌，本回合费用-1（最低0）。,导师说这叫锻炼工程能力，其实就是缺个打杂的。
red_double_lottery,抓大放小,随机获得1张红牌和1张非红牌到手牌，然后随机弃1。,核心代码自己写，边角料全丢给大模型。
