slot_id,pool_bucket,rarity,primary_axis,secondary_axis,primary_role,card_type_pref,cost_band,resource_mode,bridge_pattern,pairing_scope,design_focus,guardrail,legacy_reference
R-C-01,core60,Common,frontier,none,starter,Attack,1,damage,frontier_hit,mono-red,抽上来就能打的前沿基础攻击，负责教会玩家抢先出牌,无前沿时也必须接近及格线，不写第二条件,red_latest_strike
R-C-02,core60,Common,frontier,none,starter,Attack,1,damage,frontier_hit,mono-red,第二张前沿基础攻击，偏向不同伤害型态例如随机或轻溅射,仍然只吃前沿，不叠第三计数,red_defense_and_strike
R-C-03,core60,Common,frontier,none,starter,Skill,1,block,frontier_hit,mono-red,前沿基础防守，成功时明显更赚，失败时也能止血,不要附带额外生成或跨色收益,red_frontier_guard
R-C-04,core60,Common,frontier,none,starter,Skill,1,energy,frontier_hit,mono-red,前沿成功后回一点节奏的基础技能,回能只服务继续出牌，不再叠抽牌,red_debate_steady
R-C-05,core60,Common,frontier,none,starter,Skill,1,draw,frontier_window,mono-red,简单抽牌并制造更多前沿窗口,Common 只承担开窗功能，不再写第二奖励,red_frontier_brief
R-C-06,core60,Common,frontier,none,bridge,Attack,1,damage,frontier_count,mono-red,前沿打击转成小收益的中段桥牌,奖励幅度控制在轻加成，避免抢 Rare 戏份,
R-C-07,core60,Common,frontier,none,bridge,Skill,1,utility,frontier_rule,mono-red,设定下一张或本次出牌为前沿的规则桥牌,不要再顺带抽牌或回能,red_mark_next_frontier
R-C-08,core60,Common,frontier,attempt,bridge,Attack,1,temp_card,frontier_to_attempt,mono-red,前沿成功后制造1张尝试，这是前沿进入尝试的第一桥,只负责造尝试，不再兼做大回能,red_frontier_annotation
R-C-09,core60,Common,frontier,none,bridge,Attack,1,damage,frontier_count,mono-red,按本回合前沿次数略微增伤的桥牌,只吃一种计数，不再额外挂非红条件,
R-C-10,core60,Common,frontier,none,defense,Skill,1,block,frontier_hit,mono-red,前沿成功时多给防或临时减压的保命牌,防御牌不要再顺手开太多引擎,
R-C-11,core60,Common,frontier,none,tempo,Skill,1,discount,frontier_refund,mono-red,前沿成功时让下一张牌减费或退款的节奏牌,必须写清上限，避免免费连锁,
R-C-12,core60,Common,frontier,none,answer,Attack,2,aoe,frontier_hit,mono-red,前沿版 AOE 解题，帮助红色处理群怪,未触发时也要能作为可用 AOE,
R-C-13,core60,Common,attempt,none,starter,Skill,1,temp_card,attempt_create,mono-red,单张生成1次尝试并附一点保命或整理,尝试本体必须简单，不再挂复杂条件,red_scribble_note
R-C-14,core60,Common,attempt,none,starter,Skill,2,temp_card,attempt_create,mono-red,双尝试生成器，是 Common 尝试核心,只做生成器，不兼任大额 draw engine,red_note_dance
R-C-15,core60,Common,attempt,frontier,bridge,Attack,1,damage,attempt_consume,mono-red,消费已打出的尝试或手中尝试得到增伤,不能同时再吃非红或随机,
R-C-16,core60,Common,tempo,frontier,bridge,Skill,1,energy,frontier_refund,mono-red,前沿成功返能的纯连接层 Common 核心,资源牌不再附带高伤害,red_keep_up
R-C-17,core60,Common,tempo,attempt,bridge,Skill,1,draw,attempt_refund,mono-red,当回合尝试次数达到阈值时小抽或小返能,Common 只给轻奖励，不做爆发,
R-C-18,core60,Common,lube,none,lube,Skill,1,draw,hand_fix,mono-red,纯润滑抽滤牌，不承担流派教学,不要写第三种机制词,
R-C-19,core60,Common,lube,none,lube,Skill,1,utility,hand_fix,mono-red,换牌或轻弃牌整理，让红色不堵手,只修手牌，不再写成长文案,
R-C-20,core60,Common,lube,none,attack,Attack,1,damage,generic,mono-red,通用红色平砍，服务所有构筑,保持高可拿性，不写窄条件,
R-C-21,core60,Common,lube,none,defend,Skill,1,block,generic,mono-red,通用防御牌，服务所有构筑,优先保手感而非花哨联动,
R-C-22,core60,Common,lube,none,answer,Attack,1,aoe,generic,mono-red,Common AOE，解决杂兵压力,不要绑定前沿成功才可用,
R-C-23,core60,Common,lube,none,answer,Skill,1,block+damage,generic,mono-red,对精英不至于太虚的混合牌,混合牌数值必须克制，不能双高,red_defense_and_strike
R-C-24,core60,Common,lube,none,tempo,Skill,1,discount,hand_fix,mono-red,当回合减费或修手牌的节奏润滑牌,不要顺带生成跨色牌,
