,摸鱼事件,,,
序号,事件,A,B,C
1,又是泡实验室的一天，窗外树影婆娑，鸟语花香，你决定今天做点什么不一样的，你选择：,补充一点学术素材，拓展知识面，一口气追完 3 季高分科技纪录片。,保持活泼的学术氛围，沉浸式刷完 100 + 条科研梗吐槽短视频,学习游击战精神，跟着某位UP主学习了“快速返回桌面”“小说单行显示”“视频多窗口隐匿”“显示屏防监控”等实用的摸鱼技巧
2,图书馆的位置多么难抢啊，你可算占到了一个。你端坐在书桌前，优雅且熟练的将一整套装备铺在桌面，对接下来的工作，你感到信心满满，你决定从哪开始：,逛一逛图书展区发现一些从未涉足过的领域，取一些顺眼的书籍作为参考。,复制黏贴几篇综述进入自己的论文里，为之后的写作提供一些指引,好像还没吃早餐，大脑供能有点不足，还是先去吃一点吧
3,“我要出差一周，下周一回校我要听到你们的汇报”,用炫酷数据可视化图表包装贫瘠无状的内容，成功把逻辑漏洞藏在动画里,重点突出自己发现的研究空白，全程绕开拼凑的细节部分,假装电脑卡顿，快速跳过重复率高的段落，并运用从导师那学来的造饼术，激情演讲未来的研究方向
4,实验总是枯燥的，乏味的，令人昏昏欲睡的，你需要真正的音乐缓解一下疲惫的灵魂，你决定唱点什么：,嘿，竹板这么一打呀，别的咱不夸，我夸一夸咱这导师，就一狗不理包子,呀拉索，那就是青~藏~高↑↑↑嗷嚎嚎奥↓↓原~（棒极了）,动次打次，动次打次，呦，呦（还有什么词吗）
5,本次模拟实验已经跑了三小时，趁程序还在迭代，你决定出去溜达一圈：,天呐，外面的天空真蓝啊,天呐，外面的草好绿啊,天呐，导师的脸好黑啊
6,实验室内，看文献看到昏昏欲睡的你，借口买实验耗材溜出实验室，结果在超市生鲜区蹲了半小时看螃蟹打架，你要做点什么吗：,拍了段螃蟹互殴视频发朋友圈，配文 “每天实验室里和课题拉扯的我”,这两只螃蟹生命力如此之旺盛，正好给你可怜的室友露两手，食材怎么不算耗材呢？,或许试试挑拨一下其它螃蟹加入战局？
7,大学里遇到什么难关时，学生们总是有些千奇百怪的祭拜方式。比如你，校园湖边喂鱼念念有词的说：“论文接收，数据不丢”。湖面此时跃起了一条闪金光的大鱼，你感到：,哇！金色传说！,我道成也！我道成也！,它是不是口吐人言，在念什么“大楚兴之类的词儿？
8,室外温度高，室内空调燥，实验有点崩，心情凉凉凉。你决定去楼下奶茶店，点杯全糖奶茶配小蛋糕，边吃边刷科研失败案例找些许安慰，最终你：,刷到院士说：这算法还难吗？是头猪三年都学会了吧,刷到了导师的心灵鸡汤,刷到某位学长说：“那天我养的细胞集体跳楼了，比我还想毕业”
9,写论文摘要卡壳，偷溜去图书馆顶楼晒太阳，看到一群鸽子似乎在楼顶开会…你决定：,拍张照片发到朋友圈：“导师开组会时”,试图听懂鸽子在说什么,参与它们的谈话
10,导师让改论文格式…跟老板说“多放辣，辣醒我的学术灵感”，然后,辣到眼泪直流，舌头短暂失去味觉,辣油滴在了手上，发现很像烫伤，请了个假,吃完灵感没来，肚子先来了反应
11,跟朋友约好今晚约饭吐槽…导师走后你发现已经过点，于是你：,已经在楼下了，马上就到,咕咕咕,下次我请客，555~
12,难得赶上周末无加班，跟着社团去周边山野登山。登顶时俯瞰群山连绵，忍不住大喊两声，所有被论文、实验困住的压抑全散在风里，因此你：,默默决定以后每周都要来，哪怕只是爬到半山腰躺平,对着山谷大喊：“参考文献——我恨你——”，回声阵阵,看着远方，心里有说不出的滋味
13,没提前规划，只是突然不想待在实验室，揣着手机漫无目的地在街上走。听路人闲聊说笑，不用赶 deadline，不用想学术产出，就安安静静浪费半天时间，反倒觉得浑身轻快，因此你：,蹲在路边看大爷下棋，一边想着“这不比调参有意思？”,买了个糖葫芦边走边吃，感觉比拿到实验数据还甜,突然想通：“摸鱼不是逃避，是给大脑换挡！”
14,趁课题间隙约着同门去周边小镇短途游，没做复杂攻略，就沿着老街慢慢逛，你：,买了一堆没用但可爱的小玩意儿,导师突然打了个电话，叫你们回去,在一家老茶馆坐了一下午，听老板讲古镇传说，比听组会有意思多了
15,骑着共享单车穿梭在老城区的街巷，看路边的裁缝店、旧杂货店，感受和实验室截然不同的生活节奏，你：,突然想起自己还没缝补的实验服，于是停下来问裁缝阿姨能不能补,在旧杂货店买了一本1980年的《科学画报》，觉得可以做文献考古,一路骑到河边，把单车一停，坐在石阶上发呆，直到天色渐暗
16,约同门逛校园旁的花鸟市场，对着圆滚滚的小仓鼠蹲了十分钟，看老板给多肉换盆，腿蹲麻了，回程买了支甜筒，边走边舔着晒太阳，接下来你：,突然说：“我们实验室也该养只仓鼠，缓解科研压力。”,突然说：实验室的小白鼠玻璃仓好像碎了,想到一个绝妙的点子
17,周五下午偷溜去朋友公司楼下，一起买杯奶茶坐在公园长椅上，吐槽老板和实验数据，偷偷追小朋友吹的泡泡跑，你：,.把泡泡拍成慢动作视频，配上字幕：“科研灵感就像泡泡，美好但易碎”,和小孩哥比赛吹泡泡，输了请喝奶茶,突然觉得：“要是实验室也能吹泡泡就好了，至少数据不会崩
18,晚上不想看文献，约室友去学校旁的小吃街撸串，冰啤酒碰杯的瞬间，所有的学术压力都化作烟火气，这之中你：,举杯说：敬我自己,举杯说：敬你们所有人,默默决定：以后每周都要来，哪怕只是吃一串，喝一口
