类型,怪癖名称,冲突组,心理侧写与症状描述
黄癖,死线狂热 (Deadline Adrenaline),,前29天都在痛苦地拖延和自我厌恶，但在Deadline前夜的凌晨3点，你的大脑会分泌出致死量的肾上腺素。你化身为没有感情的打字机，甚至连上帝都要为你让路。
黄癖,茶歇雷达 (Free Food Radar),,长期的贫穷让你的胃进化出了野兽般的直觉。你能在庞大的校园里精准嗅到哪里正在举办学术会议，并能面不改色地混进人群，端起一盘免费的冷餐三明治。
黄癖,熬夜抗体 / 昼夜倒错 (Nocturnal Mutation),,你的生理钟已经彻底翻转。在阳光下你像一具行尸走肉，连打字都费劲；但只要过了晚上12点，整个世界安静下来，你的思维就会变得极其敏锐。
黄癖,画饼免疫 (Pie-Immune),,导师口中“这个课题能发顶刊”、“毕业后我推荐你留校”等话语，在你的听觉系统中已经被自动过滤为无意义的白噪音。你的内心古井无波，甚至有点想笑。
黄癖,学术黑话精通 (Jargon Fluency),,你深刻领悟了学术圈的真谛：重要的不是你做了什么，而是你怎么吹。你能够极其熟练地使用“解耦、赋能、底层逻辑、范式转移”来包装一个简单的 for 循环。
黄癖,薛定谔的P值 (P-Value Whisperer),,作为玄学调参大师，你总有一种神秘的直觉，知道怎么增删数据、怎么调整阈值，能刚好让P<0.05变得显著。你不再相信科学，你只相信魔法。
黄癖,文献速读眼 (Diagonal Reading),,你已经失去了精读一篇文章的耐心。现在你拿到一篇PDF，只会看Abstract、图表1和Conclusion。只需10秒，你就能判断出这篇垃圾论文适不适合作为你的参考文献。
黄癖,痛觉钝化 (Pain Numbness),,经历过跑了一个月的代码在最后五分钟报错，经历过养了半年的细胞被师弟污染，你的情绪阈值被无限拉高了。现在哪怕天塌下来，你也能淡定地点击“Restart”。
黄癖,极简生活主义 (Minimalist Survival),,你对物质的需求降到了最低。两套格子衬衫交替穿，一把理发推子自己搞定发型，吃食堂最便宜的套餐。贫穷无法再伤害你，因为你已经戒断了消费欲。
黄癖,白噪音依赖 (White Noise Symbiosis),,只有在通风橱轰鸣的实验室里，或者服务器风扇狂转的机房里，你才能感到心安和专注。如果周围太安静，你反而会觉得烦躁不安。
黄癖,导师情绪雷达 (PI Mood Tracker),,你只需听导师开门时的脚步声轻重，或者看他微信回复的标点符号（是“好的。”还是“好的”），就能精准判断出他今天心情如何，从而决定是去汇报工作还是赶紧开溜。
黄癖,废品利用大师 (Scrap Alchemist),,当实验室经费耗尽时，你能用胶带、废弃的矿泉水瓶和坏掉的电脑主板，奇迹般地拼凑出一台勉强能用的实验设备。
红癖,休息羞耻症 (Guilt of Resting),,只要你没有在看文献或写代码，哪怕只是躺在床上发呆，一种强烈的罪恶感也会涌上心头。你觉得此刻的快乐是一种犯罪，你必须假装在干活才能平息心跳。
红癖,伪装忙碌综合征 (Phantom Busyness),,在实验室为了躲避导师随机查岗而进化出的防御本能。只要听到熟悉的脚步声靠近，你会瞬间切掉网页，打开满是代码的窗口，并紧锁眉头假装在思考。
红癖,微信提示音幻听 (Phantom Notification),,你对手机震动或默认提示音产生了严重的应激反应。哪怕手机关机了，你脑子里也会突然“叮”一声，随之而来的是胃部痉挛和心悸。
红癖,薛定谔的焦虑 (Schrödinger's Anxiety),,你对带有Decision或Notification字样的邮件标题极度恐惧。你坚信只要你不打开邮件，它就处于“通过”和“被拒”的叠加态。
红癖,红波浪线恐惧症 (Formatting OCD),,被盲审格式规训后，你的眼睛变成了显微镜。看到中英文之间没有空格、或Word里出现红波浪线，你会感到呼吸不畅。
红癖,年龄倒计时钟 (The Ticking Clock),,你觉得自己被安装了一个隐形的定时炸弹。过了30岁之后，每过一次生日，你都能听到时钟“滴答”作响，提醒你在这个“非升即走”的世界里正在贬值。
红癖,冒名顶替综合征 (Imposter Syndrome),,无论你发了多好的文章，你内心深处始终觉得：“我其实是个骗子，这次只是运气好。总有一天大家会拆穿我的真面目，发现我其实什么都不懂。”
红癖,文献囤积癖 (PDF Hoarder),,看到任何相关的文献就立刻下载保存。你的硬盘里有几千个未命名的PDF文件，你从来没打开过它们，但看着它们的存在，你能获得一种虚假的充实感。
红癖,社交失语症 (Social Aphasia),,除了讨论课题和吐槽导师，你丧失了闲聊的能力。和圈外人吃饭时，你大脑一片空白，完全不知道普通人平时生活里都在关心些什么。
红癖,Ctrl+S强迫症 (Compulsive Saving),,因为经历过一次没保存导致的电脑死机，现在你哪怕只是打了一个标点符号，左手也会不受控制地狂按Ctrl+S。哪怕是在网页上打字也是如此。
红癖,脱发幻觉 (Follicle Paranoia),,洗澡的时候总觉得水槽被头发堵住了。每天早上醒来第一件事就是摸摸头顶，甚至会数枕头上有几根头发。风一吹，你就会下意识地按住头顶稀疏的领地。
红癖,版本号迷失 (Version Vertigo),,你的文件夹里充满了“final.docx”、“final_v2.docx”、“打死不改绝对final.docx”。你看到没有版本号结尾的文件就会感到极度的不安全。
红癖,学术自卑 (Academic Inferiority),,看到同龄人发了顶刊，第一反应不是嫉妒，而是深深的自我厌恶。觉得自己是个智力低下的废物，不配在这个世界上呼吸浪费空气。
红癖,审稿人PTSD (Reviewer 2 Trauma),,对数字“2”产生了莫名的恐惧。看到别人提出质疑，第一反应是对方要故意搞死你的文章，立刻进入极端的防御和攻击状态。
红癖,幻影报错 (Phantom Bugs),,即使代码已经完美运行，你依然会经常在梦里看到满屏的红色 Error 报错。半夜惊醒时，冷汗已经浸透了睡衣。
互斥怪癖,斯德哥尔摩学者 (Stockholm Scholar),面对权威A,哪怕被导师骂得狗血淋头、文章一作被抢，你依然在内心为导师辩护：“老师这是在锻炼我，是为了我好。”你极度渴望得到上位者的认可。
互斥怪癖,学术刺头 / 天生反骨 (Academic Rebel),面对权威A,对导师和审稿人说的每一句话都本能地抱有敌意。开组会时经常忍不住顶嘴。你坚信权威都是傻逼，只有你自己的数据是真实的。
互斥怪癖,完美主义作茧自缚 (Paralyzing Perfectionism),做事风格B,写不出一句完美的Introduction就绝不往下写，代码没考虑完所有边缘情况就绝不提交。这导致了你极其严重的拖延症。
互斥怪癖,屎山架构师 / 学术缝合怪 (Shit-Mountain Builder),做事风格B,管他三七二十一，先用胶带、口水和if-else把代码/实验糊起来跑通再说。只要不报错，哪怕逻辑再恶心也绝不动它一下。
互斥怪癖,开源狂热分子 (Open-Source Zealot),知识态度C,认为世界上所有的知识都应该是免费的。极度鄙视知网和那些把代码藏着掖着的人。为了在GitHub上回答一个陌生人的Issue可以熬夜到天亮。
互斥怪癖,知识变现狂想 (Patent Monetizer),知识态度C,彻底看透了学术圈的清贫。随时随地都在算计这个idea能不能申请专利，能不能搞点横向项目赚钱。你的眼里没有真理，只有经费和转化率。
互斥怪癖,咖啡因血液 (Caffeine Reliant),续命策略D,没有高浓度冰美式的摄入，你的大脑就会物理层面宕机。你的胃壁已经有一层咖啡渍包浆，心悸是你习以为常的背景音。
互斥怪癖,保温杯养生派 (Premature Aging),续命策略D,看透了科研的本质，早早开始了惜命。抽屉里塞满了枸杞和护肝片，坚决拒绝熬夜。到了晚上11点，哪怕服务器烧了你也要准时上床睡觉。
互斥怪癖,玄学信徒 (Occultist Researcher),科学信仰E,每次跑重要代码或做关键实验前，必须要洗手、拜佛、或者把一个特定颜色的手办放在显示器上。你深信代码跑不通是因为风水不好。
